Day,Time,Temp,Hum,Condition
4/26/2023,12:00 AM,84,79,No Rain
4/26/2023,12:30 AM,86,74,No Rain
4/26/2023,1:00 AM,84,79,No Rain
4/26/2023,1:30 AM,84,79,No Rain
4/26/2023,2:00 AM,84,79,No Rain
4/26/2023,2:30 AM,84,79,No Rain
4/26/2023,3:00 AM,84,79,No Rain
4/26/2023,3:30 AM,84,79,No Rain
4/26/2023,4:00 AM,84,79,No Rain
4/26/2023,4:30 AM,84,79,No Rain
4/26/2023,5:00 AM,82,84,No Rain
4/26/2023,5:30 AM,82,84,No Rain
4/26/2023,6:00 AM,82,84,No Rain
4/26/2023,6:30 AM,82,84,Clouds
4/26/2023,7:00 AM,84,79,Clouds
4/26/2023,7:30 AM,84,79,Clouds
4/26/2023,8:00 AM,86,74,Clouds
4/26/2023,8:30 AM,88,70,Sun
4/26/2023,9:00 AM,88,70,Sun
4/26/2023,9:30 AM,90,62,Sun
4/26/2023,10:00 AM,90,62,Sun
4/26/2023,10:30 AM,90,62,Sun
4/26/2023,11:00 AM,91,55,Sun
4/26/2023,11:30 AM,93,52,Sun
4/26/2023,12:00 PM,91,55,Clouds
4/26/2023,12:30 PM,93,52,Clouds
4/26/2023,1:00 PM,93,56,Clouds
4/26/2023,1:30 PM,95,47,Clouds
4/26/2023,2:00 PM,95,56,Clouds
4/26/2023,2:30 PM,95,53,Clouds
4/26/2023,3:00 PM,95,49,Clouds
4/26/2023,3:30 PM,95,53,Clouds
4/26/2023,4:00 PM,91,63,Clouds
4/26/2023,4:30 PM,91,63,Clouds
4/26/2023,5:00 PM,90,66,Clouds
4/26/2023,5:30 PM,90,66,Clouds
4/26/2023,6:00 PM,90,66,No Rain
4/26/2023,6:30 PM,88,70,No Rain
4/26/2023,7:00 PM,88,70,No Rain
4/26/2023,7:30 PM,88,70,No Rain
4/26/2023,8:00 PM,86,74,No Rain
4/26/2023,8:30 PM,86,74,No Rain
4/26/2023,9:00 PM,86,74,No Rain
4/26/2023,9:30 PM,86,74,No Rain
4/26/2023,10:00 PM,86,79,No Rain
4/26/2023,10:30 PM,86,79,No Rain
4/26/2023,11:00 PM,86,79,No Rain
4/27/2023,12:00 AM,86,79,No Rain
4/27/2023,12:30 AM,84,84,No Rain
4/27/2023,1:00 AM,84,84,No Rain
4/27/2023,1:30 AM,84,84,No Rain
4/27/2023,2:00 AM,84,84,No Rain
4/27/2023,2:30 AM,84,84,No Rain
4/27/2023,3:00 AM,84,79,No Rain
4/27/2023,3:30 AM,82,84,No Rain
4/27/2023,4:00 AM,82,84,No Rain
4/27/2023,4:30 AM,82,84,No Rain
4/27/2023,5:00 AM,82,84,No Rain
4/27/2023,5:30 AM,82,84,No Rain
4/27/2023,6:00 AM,82,84,No Rain
4/27/2023,6:30 AM,82,89,Sun
4/27/2023,7:00 AM,84,84,Sun
4/27/2023,7:30 AM,86,79,Sun
4/27/2023,8:00 AM,86,74,Sun
4/27/2023,8:30 AM,88,70,Sun
4/27/2023,9:00 AM,90,66,Sun
4/27/2023,9:30 AM,91,63,Sun
4/27/2023,10:00 AM,91,63,Sun
4/27/2023,10:30 AM,93,59,Clouds
4/27/2023,11:00 AM,93,59,Clouds
4/27/2023,11:30 AM,91,63,Clouds
4/27/2023,12:00 PM,95,47,Clouds
4/27/2023,12:30 PM,97,44,Clouds
4/27/2023,1:00 PM,97,41,Clouds
4/27/2023,1:30 PM,97,41,Clouds
4/27/2023,2:00 PM,95,49,Clouds
4/27/2023,2:30 PM,97,47,Clouds
4/27/2023,3:00 PM,95,53,Clouds
4/27/2023,3:30 PM,97,50,Clouds
4/27/2023,4:00 PM,91,59,Clouds
4/27/2023,4:30 PM,93,56,Clouds
4/27/2023,5:00 PM,93,59,Clouds
4/27/2023,5:30 PM,91,63,Clouds
4/27/2023,6:00 PM,91,63,No Rain
4/27/2023,6:30 PM,90,66,No Rain
4/27/2023,7:00 PM,88,66,No Rain
4/27/2023,7:30 PM,88,66,No Rain
4/27/2023,8:00 PM,88,70,No Rain
4/27/2023,8:30 PM,86,74,No Rain
4/27/2023,9:00 PM,86,74,No Rain
4/27/2023,9:30 PM,86,74,No Rain
4/27/2023,10:00 PM,86,74,No Rain
4/27/2023,10:30 PM,86,74,No Rain
4/27/2023,11:00 PM,86,74,No Rain
4/27/2023,11:30 PM,84,79,No Rain
4/28/2023,12:00 AM,84,79,No Rain
4/28/2023,12:30 AM,84,79,No Rain
4/28/2023,1:00 AM,84,79,No Rain
4/28/2023,1:30 AM,84,79,No Rain
4/28/2023,2:00 AM,84,79,No Rain
4/28/2023,2:30 AM,84,79,No Rain
4/28/2023,3:00 AM,84,79,No Rain
4/28/2023,3:30 AM,84,79,No Rain
4/28/2023,4:00 AM,84,79,No Rain
4/28/2023,4:30 AM,84,79,No Rain
4/28/2023,5:00 AM,82,84,No Rain
4/28/2023,5:30 AM,82,89,No Rain
4/28/2023,6:00 AM,82,84,No Rain
4/28/2023,6:30 AM,84,79,Clouds
4/28/2023,7:00 AM,84,84,Clouds
4/28/2023,7:30 AM,86,74,Clouds
4/28/2023,8:00 AM,86,74,Clouds
4/28/2023,8:30 AM,90,62,Clouds
4/28/2023,9:00 AM,91,59,Clouds
4/28/2023,9:30 AM,90,59,Clouds
4/28/2023,10:00 AM,91,55,Clouds
4/28/2023,10:30 AM,93,52,Clouds
4/28/2023,11:00 AM,95,53,Clouds
4/28/2023,11:30 AM,95,49,Clouds
4/28/2023,12:00 PM,97,44,Clouds
4/28/2023,12:30 PM,97,44,Clouds
4/28/2023,1:00 PM,97,44,Clouds
4/28/2023,1:30 PM,97,44,Clouds
4/28/2023,2:00 PM,97,53,Clouds
4/28/2023,2:30 PM,95,53,Clouds
4/28/2023,3:00 PM,95,53,Clouds
4/28/2023,3:30 PM,95,56,Clouds
4/28/2023,4:00 PM,93,56,Clouds
4/28/2023,4:30 PM,91,59,Light Rain
4/28/2023,5:00 PM,84,79,Light Rain
4/28/2023,5:30 PM,84,84,Clouds
4/28/2023,6:00 PM,88,75,No Rain
4/28/2023,6:30 PM,88,75,No Rain
4/28/2023,7:00 PM,88,75,No Rain
4/28/2023,7:30 PM,88,70,No Rain
4/28/2023,8:00 PM,88,70,No Rain
4/28/2023,8:30 PM,86,74,No Rain
4/28/2023,9:00 PM,86,79,No Rain
4/28/2023,9:30 PM,86,79,No Rain
4/28/2023,10:00 PM,86,79,No Rain
4/28/2023,10:30 PM,86,79,No Rain
4/28/2023,11:00 PM,86,79,No Rain
4/28/2023,11:30 PM,86,79,No Rain
